beach,sun,trees,car,people,dog,food,building,road
,,Loggers were able to drag cut trees over the winter snow to the roads or water bodies.,Cars bring me sheer joy.Evan Spiegel,"I’m busy right now, can I ignore you some other time?",,Each slice was inconsistent with toppings and how cooked it was,,
,,There are some people who think that you shouldn’t be allowed to cut trees down.,You can know or not know how a car runs and still enjoy riding in a car.David Byrne,This is what makes me keep going!!,,The food was not very good quality and was overpriced,,
,,DO NOT CUT trees or brush piles which have been reserved (SIGNED) for wildlife.,Modern cars I don’t like so much.Amber Heard,People who do you wrong are just helping you. They’re helping you realize what you don’t need in your life and what you really deserve.,,The place is horrible,,
,,"Rather than just cutting trees all day you get to know more, and see more.","Race cars, no matter what size or shape they are, they do the same things. It is not complicated.Tony Stewart","Throughout life people will make you mad, disrespect you and treat you bad. Let God deal with the things they do, cause hate in your heart will consume you too.",,It’s the only food I ate in the last 24 hours that I did not eat in the proceeding days,,
,,Visitors come to spend a day in the area and can cut trees only from designated locations.,,Jealousy is the best compliment you can receive!,,The food is mediocre for the price and to make it even worse it is not even close to authentic,,
,,"Deforestation has been a significant problem, especially after 1980, because the rate of cutting trees has increased.",,"If you’re not a tree hugger, then you’re a what, a tree hater?",,Hostess stand was rude,,
,,"And er then I carried on in the woodlands then, cutting trees down and erm sawing up too.",,Behind every sucessful person lies a pack of Haters! I love my haters!,,,,
,,The city had decided to put a street through Green Peace: already workmen were digging trenches and cutting trees .,,Some people are born with a single feeling called hate.,,Food was dry and not cooked well and my friend found hair in her food,,
,,"The Iroquois probably bent their rafters from freshly cut trees , because green wood is much more flexible than dry.",,It feels hilarious when they talk about me without knowing me.,,They don’t even have a plain slice,,
,,"First people cut trees for shelter and fuel, until rains swept away the soil and the springs dried up.",,Haters will see you walk on water and say it’s because you can’t swim.,,Salad was so rotted I had to throw it away or risk food poisoning,,
,,Robertson also implemented a bylaw in April 2014 that prevents homeowners from cutting trees down on their own private property.,,Whoever is trying to bring you down is already below you.,,"On top of that, there was dirt on top of the cans of soda and when we went to pay, the owner was having a phone conversation the entire time while at the counter and we had to wait until another person who worked there noticed this in order for us to pay for the food",,
,,And I think there is a great deal of difference in cutting trees for palm oil and for solar panels.,,Isn’t it kind of silly to think that tearing someone else down builds you up?,,I ordered a Philly cheesesteak and the thing was not edible,,
,,"On September 30, 1749, about forty Mi’kmaq attacked six men who were in Dartmouth cutting trees .",,"You don’t have to like me, I’m not a Facebook status.",,I am pretty sure they are not even using the Hershey’s brand but some much cheaper version: HORRIBLE PLACE,,
,,Eugenia Ginzberg recalls being near death because she could not meet even 20% of the norm for cutting trees .,,"Haters never win. I just think that’s true about life, because negative energy always costs in the end.",,Service from start to finish was not good,,
,,"To improve the defense, Washington ordered his men to cut trees down and to make them into makeshift breastworks.",,Jealousy is just love and hate at the same time.,,There was also a good amount of pork,,
,,They use powerful front teeth to cut trees and other plants that they use both for building and for food.,,All your haters need is your attention; so they are meant to be ignored.,,You should not call yourself a Mexican restaurant,,
,,"If human beings could be propagated by cutting, like apple trees, aristocracy would be biologically sound. - Author: John B. S. Haldane",,Soon as I walk in dogs are barkin’Haters play the back I stay in front like handicapped parkin-RedMan.,,Bartender was rude,,
,,"Tree cutting and yoga, who knew Bethany was so multi-talented",,"Whatever you do, good or bad, people will always have something negative to say.",,"It was a busy night I get it, but worst service I have ever experienced",,
,,If i get 8 hours to cut a tree i'll,,A jealous woman does better research than the FBI.,,GARBAGE,,
,,- Author: Abraham Lincoln,,"Expect while reaching for the stars, people to whirl by with their dark clouds and storm upon you.",,The pasta looked crusty so I stayed away should have just stayed away from this place altogether,,
,,Felling a tree and gazing at the cut end - tonight's moon - Author: Matsuo Basho,,"Cuz life could cost you a single penny to a worth beyond million dollars which awakes you to live, to cherish, to fulfill it.",,It was overall a very bad experience,,
,,I feel like a lot of time my writing is like having about twenty boxes of Christmas decorations,,"People who project negativity typically have low self-esteem. They feel badly about themselves, and their negativity is simply a reflection of those feelings.",,I am giving the place a 1 star because I couldn’t give it a 0 (zero) star,,
,,"Don't let anything like trees in the Clearwater National Forest get in the way of providing jobs and fueling the economy, even if that means cutting down every last tree in the state",,Negative people are only happy when they bring you down to their level.,,Avoid at all costs,,
,,It cuts one sadly to see the grief of old people; they've no way o' working it off; and the new spring brings no new shoots out on the withered tree,,Hi stalker. I’m still fabulous. Thanks for checking up on me.,,Food was okay,,
,,"A tree is a wonderful living organism which gives shelter, food, warmth and protection to all living things",,"Remember that only God can judge us; forget the haters, because Somebody loves you.",,,,
,,The most beautiful thing about a tree is what you do with it after you cut it down,,It is easy to hate and it is difficult to love. This is how the whole scheme of things works. All good things are difficult to achieve; and bad things are very easy to get.,,,,
,,He who sees a gold bullion more valuable than a tree has surely an intelligence much less than a donkey's! - Author: Mehmet Murat Ildan,,Love makes everything lovely; hate concentrates itself on the one thing hated.,,,,
,,But men are cutting down the trees without replacing them,,The worst enemy is one whose doctrines are founded in hate and are thus beyond debate.,,,,
,,"I cut down trees, I skip and jump, I like to press wild flowers",,"Tell me I can’t, then watch me work twice as hard to prove you wrong.",,,,
,,Big? Sure,,"If you don’t want a sarcastic answer, don’t ask a stupid question.",,,,
,,"But the sower going forth to sow sets foot into time to come, the seeds falling on his own place",,This is my life so you have a limit.,,,,
,,"A beaver does not, as legend would have it, know which direction the tree will fall when he cuts it, but counts on alacrity to make up for lack of engineering expertise",,Hating people is like burning down your own house to get rid of a rat.,,,,
,,It's okay for someone to chase me and then try to cut me off so I ram my car into a tree,,"I think that everybody wants to be heard, and the easiest way to be the loudest is to be the hater.",,,,
,,"Cutting down that tree was my last war!"" I asked him who won, which I thought was a nice question, because it would let him say that he won, and feel proud",,"Dear haters, I’m not your enemy. I’m your hero.",,,,
,,"Just as a tree, though cut down, can grow again and again if its roots are undamaged and strong, in the same way if the roots of craving are not wholly uprooted sorrows will come again and again - Author: Gautama Buddha",,"If you don’t like me, don’t judge me. Nobody said you had to like me. Nobody.",,,,
,,It is a very pretty observation of old Isaac Ambrose that the gum which exudes from the tree without cutting is always the best,,It’s so sad that you feel the need to put me down to make yourself feel better.,,,,
,,"When the savages of Louisiana wish to have fruit, they cut the tree at the bottom and gather the fruit",,"If you don’t like and still watch everything I do, b*tch you’re a fan.",,,,
,,A nation who sits like cows on the fields while the country's trees are being cut down ruthlessly deserves the emptiest deserts thousands of times! - Author: Mehmet Murat Ildan,,My haters taught me dedication by their dedicated hatred for me.,,,,
,,"What will the axemen do, when they have cut their way from sea to sea? - Author: James F",,Some people are born with shit in their minds and they spread this shit by hating you.,,,,
,,I cannot tell a lie,,"They wanna see you do good, but never better than them. Remember that.",,,,
,,"If your ancestors cut down all the trees, it's not your fault, but you still don't live in a forest",,Hate is… It’s too easy. Love. Love takes courage.,,,,
,,Cutting a tree down doesn't kill it; it erases it from history,,If they disrespect you to your face imagine what they’re doing behind your back.,,,,
,,"A political country is like an American forest; you have only to cut down the old trees, and immediately new trees come up to replace them",,My haters don’t let me feel alone as they always follow me to screw up my life.,,,,
,,"Everyone goes to the forest; some go for a walk to be inspired, and others go to cut down the trees",,"Haters, like parrots, talk much but cannot fly. Dreamers, like eagles, say nothing but conquer the skies.",,,,
,,"No longer is science asked to understand the world, or to improve any part of it",,I’m a scuba diver in a sea of idiots.,,,,
,,"When trees mature, it is fair and moral that they are cut for man's use, as they would soon decay and return to the earth",,Don’t hate what you can’t imitate.,,,,
,,"Could a scar be like the rings of a tree, reopened with each emotional season? - Author: Magenta Periwinkle",,"My trash can always welcome my haters, because that’s where they actually belong.",,,,
,,"As a tree, even though it has been cut down, is firm so long as its root is safe, and grows again, thus, unless the feeders of thirst are destroyed, the pain (of life) will return again and again",,I love the sound you make when you shut up.,,,,
,,"Since half of all trees cut go to making paper, the only meaningful way to address destruction of our forest is to change the way paper is made",,"Bitch Please! You are so fake, even China denied they made you!",,,,
,,You should issue demerits for tree cutting or the destruction of humus,,Dear haters I love the way you use my name to spice up your gossips.,,,,
,,Gansey's phone buzzed,,"I don’t have time, energy, or interest in hating the haters; I’m too busy loving the lovers.",,,,
,,- Author: Maggie Stiefvater,,My haters are my secret admirers as they secretly follow me everywhere.,,,,
,,"Cut down the forest, not just a tree",,Some people are just born to spread rumors.,,,,
,,"Thank God, they cannot cut down the clouds! - Author: Henry David Thoreau",,Insecure people put others down to raise themselves up.,,,,
,,I think England has served me very well,,The helluva of your comments doesn’t bother me; I know you are born to waste your time by criticizing me.,,,,
,,People moved in across the street and are immediately cutting down a huge tree,,"Haters are like crickets. Crickets make a lot of noise, you hear it but you can’t see them. Then right when you walk by them, they’re quiet.",,,,
,,"If you want to cut down a tree, it is no use to climb into its branches",,"Rumors are carried by haters, spread by fools, and accepted by idiots.",,,,
,,"Just as a tree, though cut down, sprouts up again if its roots remain uncut and firm, even so, until the craving that lies dormant is rooted out, suffering springs up again and again",,"We are nearer loving those who hate us, than those who love us more than we desire.",,,,
,,Stars,,"Don’t worry about those who talk behind your back, They’re behind you for a reason.",,,,
,,"It is easy to cut down the tree of liberty, but not so easy to restore it to life",,Judging a person does not define who they are. It defines who you are.,,,,
,,Be like a tree,,Has anything you’ve done made your life better?,,,,
,,"We see a man cutting down a tree, and we make sure that he is filling a social need, just because he uses his muscles; it does not occur to us that he may only be cutting down a beautiful tree to make room for a hideous statue",,Did you fall from heaven? Because so did Satan.,,,,
,,I cut my bow from the wood of this tree of evil,,You’re not fake for leaving people behind who aren’t benefiting you positively.,,,,
,,"No wonder the hills and groves were God's first temples, and the more they are cut down and hewn into cathedrals and churches, the farther off and dimmer seems the Lord himself",,Hatred is something that takes a lot of time to recover or may be not. It depends upon one’s attitude.,,,,
,,"I want a chainsaw very badly, because I think cutting down a tree would be unbelievably satisfying",,"Never hate people who are jealous of you, but respect their jealousy because they’re the ones who think you’re better than them.",,,,
,,"I knew the tree when it grew, and the tree is now gone",,Use your haters as stepping stones to get to the top.,,,,
,,"To me, all the juice of a book is in an unpublished manuscript, and the published book is like a dead tree - just good for cutting up and building your house with",,"Hating is the sincerest form of flattery, so keep hating; hater",,,,
,,"The suburb is a place where someone cuts down all the trees to build houses, and then names the streets after the trees",,Love your haters because they ARE your biggest fans!,,,,
,,"The first idea, the first art piece I ever did, was when I was four",,"Respect your haters, they’re the only ones who think you’re better than them.",,,,
,,There's no experience quite like cutting your own live Christmas tree out of your neighbor's yard,,"There comes an age where u realize smile is all you needed, to live happily! And that’s I gotta this life!",,,,
,,"You can cut down a tree with a hammer, but it takes about 30 days",,"I keep my head held high and smile, because there are people who will kill to see me fall.",,,,
,,"At the moment I'm so exhausted that I feel like cutting my throat, so the next news masy well be that I am across the river and under the trees: what is the meaning and purpose of life? Death",,Hating is the sincerest form of flattery.,,,,
,,Humans eat of the tree of the knowledge of good and bad,,If hatred is a relation; then my haters are in a relationship with an awesome person.,,,,
,,,,Nations have come under the control of haters and fools.,,,,
,,,,"If you cannot be positive, then at least be quiet.",,,,
